ID_ProGres,Enqueteur,start,end,_GPS_latitude,_GPS_longitude,montant_transfert,taille_menage,age_chef,satisfaction,zone
329-24-1022,Oumar ag Ozarif,2026-02-19 11:18:00,2026-02-19 11:46:00,16.68401,-7.21535,3600,5,24,Peu satisfait,Nema
329-24-1023,Fatma Badroudin,2026-02-19 11:27:00,2026-02-19 11:55:00,16.54482,-7.28178,3600,5,22,Pas satisfait,Nema
329-24-1024,Oyya Ag sidi,2026-02-19 11:36:00,2026-02-19 12:04:00,,,3600,4,24,Tres satisfait,Nema
329-24-1025,Mbarka Oumar,2026-02-19 11:45:00,2026-02-19 11:59:00,16.59322,-7.34798,3600,3,53,Satisfait,Nema
329-24-001,Oumar ag Ozarif,2026-02-19 11:54:00,2026-02-19 12:22:00,16.57632,-7.24536,3600,2,51,Peu satisfait,Nema
329-24-1027,Fatma Badroudin,2026-02-19 12:03:00,2026-02-19 12:31:00,16.50045,-7.37577,3600,5,24,Pas satisfait,Nema
329-24-1028,Oyya Ag sidi,2026-02-19 12:12:00,2026-02-19 12:21:00,16.69272,-7.28483,3600,7,45,Tres satisfait,Nema
329-24-1029,Mbarka Oumar,2026-02-19 12:21:00,2026-02-19 12:49:00,16.59698,-7.37103,3600,6,45,Satisfait,Nema
329-24-1030,Oumar ag Ozarif,2026-02-19 12:30:00,2026-02-19 12:44:00,16.60845,-7.32328,3600,2,22,Peu satisfait,Nema
329-24-1031,Fatma Badroudin,2026-02-19 12:39:00,2026-02-19 13:07:00,16.59054,-7.27187,3600,7,34,Pas satisfait,Nema
329-24-1032,Oyya Ag sidi,2026-02-19 12:48:00,2026-02-19 13:16:00,,,3600,3,60,Tres satisfait,Nema
329-24-1033,Mbarka Oumar,2026-02-19 12:57:00,2026-02-19 13:25:00,16.59596,-7.27976,3600,8,35,Satisfait,Nema
329-24-1034,Oumar ag Ozarif,2026-02-19 13:06:00,2026-02-19 13:34:00,16.50966,-7.33295,360,6,42,Peu satisfait,Nema
329-24-1035,Fatma Badroudin,2026-02-19 13:15:00,2026-02-19 13:24:00,16.67584,-7.28286,3600,2,40,Pas satisfait,Nema
329-24-1036,Oyya Ag sidi,2026-02-19 13:24:00,2026-02-19 13:52:00,16.66424,-7.23298,3600,5,24,Tres satisfait,Nema
329-24-1037,Mbarka Oumar,2026-02-19 13:33:00,2026-02-19 14:01:00,16.57697,-7.2441,3600,3,67,Satisfait,Nema
329-24-1038,Oumar ag Ozarif,2026-02-19 13:42:00,2026-02-19 14:10:00,16.65216,-7.20398,3600,99,33,Peu satisfait,Nema
329-24-001,Fatma Badroudin,2026-02-19 13:51:00,2026-02-19 14:19:00,16.68665,-7.25438,3600,5,23,Pas satisfait,Nema
329-24-1040,Oyya Ag sidi,2026-02-19 14:00:00,2026-02-19 14:14:00,,,3600,7,66,Tres satisfait,Nema
329-24-1041,Mbarka Oumar,2026-02-19 14:09:00,2026-02-19 14:37:00,16.58247,-7.27266,3600,6,29,Satisfait,Nema
329-24-1042,Oumar ag Ozarif,2026-02-19 14:18:00,2026-02-19 14:27:00,16.69391,-7.2535,3600,5,22,Peu satisfait,Nema
329-24-1043,Fatma Badroudin,2026-02-19 14:27:00,2026-02-19 14:55:00,16.58799,-7.32344,3600,7,33,Pas satisfait,Nema
329-24-1044,Oyya Ag sidi,2026-02-19 14:36:00,2026-02-19 15:04:00,16.62405,-7.22079,3600,6,62,Tres satisfait,Nema
329-24-1045,Mbarka Oumar,2026-02-19 14:45:00,2026-02-19 14:59:00,16.60945,-7.27378,3600,7,68,Satisfait,Nema
329-24-1046,Oumar ag Ozarif,2026-02-19 14:54:00,2026-02-19 15:22:00,16.67341,-7.20857,3600,4,66,Peu satisfait,Nema
329-24-1047,Fatma Badroudin,2026-02-19 15:03:00,2026-02-19 15:31:00,16.64761,-7.24176,3600,9,46,Pas satisfait,Nema
329-24-1048,Oyya Ag sidi,2026-02-19 15:12:00,2026-02-19 15:40:00,,,3600,7,27,Tres satisfait,Nema
329-24-1049,Mbarka Oumar,2026-02-19 15:21:00,2026-02-19 15:30:00,16.66003,-7.20989,3600,8,54,Satisfait,Nema
329-24-1050,Oumar ag Ozarif,2026-02-19 15:30:00,2026-02-19 15:44:00,16.63803,-7.2024,3600,7,62,Peu satisfait,Nema
